@relation 'dataframe-weka.filters.unsupervised.attribute.StringToNominal-R18-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NC:A,D:B,N:?-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R14-15-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1,2'

@attribute age numeric
@attribute sex {'M','F'}
@attribute inhabitants numeric
@attribute unemployment_rate numeric
@attribute comm_crimes numeric
@attribute issuance_frequency {'MONTHLY ISSUANCE','ISSUANCE AFTER TRANSACTION','WEEKLY ISSUANCE'}
@attribute average_credit numeric
@attribute max_credit numeric
@attribute min_credit numeric
@attribute average_withdrawal numeric
@attribute max_withdrawal numeric
@attribute min_withdrawal numeric
@attribute card {'Y','N'}
@attribute stato {1,0}

@data
62,'F',323870,5.44,18347,'MONTHLY ISSUANCE',20028.75625,31544.7,18019.1,19611.206667,42899.6,9979.6,'Y',?
60,'M',128118,7.07,6872,'ISSUANCE AFTER TRANSACTION',40164.240625,179595,42.3,34382.012903,95170.2,100,'Y',?
53,'F',125832,4.12,2103,'MONTHLY ISSUANCE',21334.308065,32413.8,500,20634.780328,50462.6,2300,'Y',?
39,'M',114006,5.39,4166,'MONTHLY ISSUANCE',41410.684,59945.5,300,34637.15102,90552.6,4752.6,'Y',?
54,'F',107911,3.56,1903,'MONTHLY ISSUANCE',13168.607143,21247.4,500,13006.561538,17023.8,3900,'Y',?
54,'M',51428,3.98,1099,'ISSUANCE AFTER TRANSACTION',63413.72381,165787.7,270.6,53588.135,142482,900,'Y',?
56,'F',77963,4.02,3120,'WEEKLY ISSUANCE',14972.623077,53780.9,180.7,15613.956522,33600,30,'Y',?
19,'F',72541,2.01,1525,'MONTHLY ISSUANCE',31861.29,145812.7,200.3,35130.68,97214.6,1500,'Y',?
44,'M',105058,3.22,4505,'MONTHLY ISSUANCE',29638.761765,40930.8,27181.4,25049.506061,45525.3,1100,'Y',?
56,'F',107911,3.56,1903,'MONTHLY ISSUANCE',31798.053125,44375.4,400,28132.412903,47849.6,6800,'Y',?
61,'F',323870,5.44,18347,'MONTHLY ISSUANCE',51908.67619,74339.6,400,46197.15,75503.6,11300,'Y',?
